"","Alpha_2","Name","Station","ICAO","IATA","SYNOP","LAT","LONG","ELEV"
"204",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"205",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"206",NA,"Bolivia","LOUISIANA          1","1-MAR-","14",NA,NA,NA,NA
"207",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"208",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"209",NA,"Bolivia","MASSACHUSETTS      0","4-SEP-","06",NA,NA,NA,NA
"210",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"211",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"212",NA,"Bolivia","MARYLAND           1","3-FEB-","12",NA,NA,NA,NA
"213",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"214",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"215",NA,"Bolivia","MAINE              2","2-MAR-","12",NA,NA,NA,NA
"216",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"217",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"218",NA,"Bolivia","MICHIGAN           3","0-APR-","13",NA,NA,NA,NA
"219",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"220",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"221",NA,"Bolivia","MINNESOTA          3","0-APR-","13",NA,NA,NA,NA
"222",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"223",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"224",NA,"Bolivia","MISSOURI           3","0-APR-","13",NA,NA,NA,NA
"225",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"226",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"227",NA,"Bolivia","MISSISSIPPI        0","3-DEC-","13",NA,NA,NA,NA
"228",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"229",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"230",NA,"Bolivia","MONTANA            2","3-AUG-","13",NA,NA,NA,NA
"231",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"232",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"233",NA,"Bolivia","NORTH CAROLINA     2","2-OCT-","13",NA,NA,NA,NA
"234",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"235",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"236",NA,"Bolivia","NORTH DAKOTA       0","3-DEC-","13",NA,NA,NA,NA
"237",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"238",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"239",NA,"Bolivia","NEBRASKA           1","8-MAY-","11",NA,NA,NA,NA
"240",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"241",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"242",NA,"Bolivia","NEW HAMPSHIRE      2","6-APR-","06",NA,NA,NA,NA
"243",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"244",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"245",NA,"Bolivia","NEW JERSEY         1","3-FEB-","12",NA,NA,NA,NA
"246",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"247",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"248",NA,"Bolivia","NEW MEXICO         2","8-FEB-","12",NA,NA,NA,NA
"249",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
